resource,property,lang,n_hits
Wikidata,prefLabel,en,84261
Wikidata,altLabel,en,18126
Wikidata,descr,en,87058
Wikidata,prefLabel,nl,7327
Wikidata,altLabel,nl,1518
Wikidata,descr,nl,33885
AAT,prefLabel,en,526
AAT,altLabel,en,1428
AAT,scopeNote,en,5742
AAT,prefLabel_comment,en,6
AAT,altLabel_comment,en,6
AAT,prefLabel,nl,295
AAT,altLabel,nl,94
AAT,scopeNote,nl,3568
AAT,prefLabel_comment,nl,0
AAT,altLabel_comment,nl,0
PWN,synset_lemmas,en,230
PWN,definitions,en,5148
PWN,examples,en,578
ODWN,le_written_form,nl,147
ODWN,sense_definition,nl,219
ODWN,sense_examples,nl,433
ODWN,synset_definition,nl,190
