term,QID,wd_bow,spacy_cs,check,link_wd
aboriginal,Q103817,"indigenous, people, population, group, people, ethnic, group, minority, group, indigenous, people, people, traditional, people, native, people, indigenous, culture, ethnic, group, descended, identified, original, inhabitant, given, region",0.971,TRUE,https://www.wikidata.org/wiki/Q103817
aboriginal,Q28942344,"indigenous, australian, community, human, settlement, community, indigenous, community, settlement, populated, primarily, indigenous, australian, people",0.945,TRUE,https://www.wikidata.org/wiki/Q28942344
aboriginal,Q28943050,"warndarang, people, extinct, language, group, australian, people, northern, territory",0.937,TRUE,https://www.wikidata.org/wiki/Q28943050
aboriginal,Q9064330,"native, people, ethnic, group, indigenous, people, people",0.932,TRUE,https://www.wikidata.org/wiki/Q9064330
aboriginal,Q1493806,"indigenous, people, australia, ethnic, group, indigenous, people, australian, aborigine, people, australian, aborigine, australian, indigenous, people, indigenous, people, australia, australian, grouping, people, existed, british, colonisation, australia",0.931,TRUE,https://www.wikidata.org/wiki/Q1493806
aboriginal,Q265730,"tasmanians, ethnic, group, indigenous, people, australian, island, state, tasmania",0.929,TRUE,https://www.wikidata.org/wiki/Q265730
aboriginal,Q1125875,"indigenous, people, assembly, canada, organization, congress, people, native, council, canada, canadian, indigenous, people, organization",0.915,TRUE,https://www.wikidata.org/wiki/Q1125875
aboriginal,Q596718,"tjurunga, object, religious, significance, central, australian, people, arrernte, aranda, arunta, group",0.913,TRUE,https://www.wikidata.org/wiki/Q596718
aboriginal,Q7927181,"victorian, ethnic, group, indigenous, people, australian, state, victoria",0.905,TRUE,https://www.wikidata.org/wiki/Q7927181
aboriginal,Q6443011,"kulin, kulin, language, group, australian, language, kulin, people, central, victoria",0.9,TRUE,https://www.wikidata.org/wiki/Q6443011
aboriginals,Q170355,"indigenous, australian, human, population, indigenous, people, australian, inhabitant, indigenous, people, aboriginal, australian, australian, aboriginal, torres, strait, islander, aborigine, australian, aborigine, type, ethnic, group, consisting, native, people, australian, continent, torres, strait, island",0.949,TRUE,https://www.wikidata.org/wiki/Q170355
aboriginals,Q12060728,"aboriginal, australian, ethnic, group, aborigine, aborigine, aboriginal, term, used, refer, group, indigenous, australian",0.86,TRUE,https://www.wikidata.org/wiki/Q12060728
aboriginals,Q65047988,"northern, territory, aboriginal, act, act, south, australian, parliament, created, mechanism, control, life, aboriginal, people, northern, territory",0.851,TRUE,https://www.wikidata.org/wiki/Q65047988
aboriginals,Q4825132,"australian, referendum, aboriginal, referendum, australian, referendum, aboriginal, constitution, alteration, aboriginal, bill, australian, referendum, legislating, aboriginal, people, successful, proposal, give, commonwealth, power, make, special, law, aboriginal, people, count, purpose, constitution",0.829,TRUE,https://www.wikidata.org/wiki/Q4825132
aboriginals,Q4668400,"aboriginal, protection, restriction, sale, opium, act, queensland, law, controlled, activity, movement, land, aboriginal, people",0.817,TRUE,https://www.wikidata.org/wiki/Q4668400
aboriginals,Q376608,"australian, aboriginal, mythology, mythology, religion, ritual, mythology, australian, aboriginal, mythology, aboriginal, australian, mythology, indigenous, australian, aboriginal, australian, mythology, indigenous, australian, mythology, ritual, traditional, history, indigenous, people, australia",0.809,TRUE,https://www.wikidata.org/wiki/Q376608
aboriginals,Q864079,"australian, native, police, police, unit, consisting, australian, aboriginal",0.784,TRUE,https://www.wikidata.org/wiki/Q864079
aboriginals,Q114875084,"aboriginal, benefit, account, australian, government, body, australian, government, agency",0.777,TRUE,https://www.wikidata.org/wiki/Q114875084
aboriginals,Q5260661,"indigenous, people, cape, york, group, human, cape, york, aboriginal",0.768,TRUE,https://www.wikidata.org/wiki/Q5260661
aboriginals,Q16211163,"nunga, term, self, reference, many, australian, aboriginal",0.756,TRUE,https://www.wikidata.org/wiki/Q16211163
allochtoon,Q2008347,"social, group, human, literally, meaning, another",1,TRUE,https://www.wikidata.org/wiki/Q2008347
