,term,QID,wd_bow,cs_combined
93842,aboriginal,Q103817,"['indigenous', 'people', 'population', 'group', 'people', 'ethnic', 'group', 'minority', 'group', 'indigenous', 'people', 'people', 'traditional', 'people', 'native', 'people', 'indigenous', 'culture', 'ethnic', 'group', 'descended', 'identified', 'original', 'inhabitant', 'given', 'region']",0.945
94531,aboriginal,Q96200400,"['land', 'acknowledgement', 'acknowledgment', 'public', 'statement', 'indigenous', 'land', 'acknowledgment', 'native', 'land', 'acknowledgement', 'land', 'acknowledgement', 'territorial', 'acknowledgement', 'land', 'recognition', 'acknowledgement', 'country', 'acknowledgement', 'traditional', 'custodian', 'statement', 'often', 'connected', 'building', 'work', 'state', 'people', 'live', 'lived', 'area', 'statement', 'refers']",0.9390000000000001
95758,aboriginal,Q7980672,"['welcome', 'country', 'acknowledgement', 'country', 'ritual', 'formal', 'ceremony', 'performed', 'many', 'event', 'held', 'australia', 'intended', 'highlight', 'cultural', 'significance', 'surrounding', 'area', 'particular', 'clan', 'language', 'group', 'recognised', 'traditional', 'owner', 'land']",0.93
94200,aboriginal,Q28942344,"['indigenous', 'australian', 'community', 'human', 'settlement', 'community', 'indigenous', 'community', 'settlement', 'populated', 'primarily', 'indigenous', 'australian', 'people']",0.924
94041,aboriginal,Q170355,"['indigenous', 'australian', 'human', 'population', 'indigenous', 'people', 'australian', 'inhabitant', 'indigenous', 'people', 'australian', 'australian', 'torres', 'strait', 'islander', 'aborigine', 'australian', 'aborigine', 'type', 'ethnic', 'group', 'consisting', 'native', 'people', 'australian', 'continent', 'torres', 'strait', 'island']",0.922
95133,aboriginal,Q8039318,"['wurundjeri', 'woi', 'wurrung', 'cultural', 'heritage', 'corporation', 'torres', 'strait', 'islander', 'corporation', 'wurundjeri', 'tribe', 'land', 'compensation', 'cultural', 'heritage', 'council', 'australian', 'corporation', 'representing', 'wurundjeri', 'people', 'victoria', 'australia']",0.919
95209,aboriginal,Q85739476,"['reserve', 'place', 'historic', 'place', 'relating', 'australian', 'indigenous', 'people']",0.9179999999999999
94390,aboriginal,Q596718,"['tjurunga', 'object', 'religious', 'significance', 'central', 'australian', 'people', 'arrernte', 'aranda', 'arunta', 'group']",0.917
93926,aboriginal,Q112729549,"['indigenous', 'location', 'statistical', 'territorial', 'entity', 'australia', 'community', 'torres', 'strait', 'islander', 'community', 'indigenous', 'location', 'iloc', 'statistical', 'territorial', 'entity', 'defined', 'australian', 'bureau', 'statistic', 'census']",0.9159999999999999
94388,aboriginal,Q5937166,"['indigene', 'mascot', 'controversy', 'controversy', 'social', 'movement', 'native', 'american', 'mascot', 'controversy', 'native', 'mascot', 'controversy', 'mascot', 'controversy', 'amerindian', 'mascot', 'controversy', 'controversy', 'mascot', 'depicting', 'native', 'american', 'first', 'nation', 'people', 'indigenous', 'character']",0.915
93817,aboriginals,Q170355,"['indigenous', 'australian', 'human', 'population', 'indigenous', 'people', 'australian', 'inhabitant', 'indigenous', 'people', 'aboriginal', 'australian', 'australian', 'aboriginal', 'torres', 'strait', 'islander', 'aborigine', 'australian', 'aborigine', 'type', 'ethnic', 'group', 'consisting', 'native', 'people', 'australian', 'continent', 'torres', 'strait', 'island']",0.922
93837,aboriginals,Q65047988,"['northern', 'territory', 'aboriginal', 'act', 'act', 'south', 'australian', 'parliament', 'created', 'mechanism', 'control', 'life', 'aboriginal', 'people', 'northern', 'territory']",0.884
93820,aboriginals,Q376608,"['australian', 'aboriginal', 'mythology', 'mythology', 'religion', 'ritual', 'mythology', 'australian', 'aboriginal', 'mythology', 'aboriginal', 'australian', 'mythology', 'indigenous', 'australian', 'aboriginal', 'australian', 'mythology', 'indigenous', 'australian', 'mythology', 'ritual', 'traditional', 'history', 'indigenous', 'people', 'australia']",0.865
93814,aboriginals,Q12060728,"['aboriginal', 'australian', 'ethnic', 'group', 'aborigine', 'aborigine', 'aboriginal', 'term', 'used', 'refer', 'group', 'indigenous', 'australian']",0.8440000000000001
93816,aboriginals,Q16873103,"['moseley', 'royal', 'commission', 'royal', 'commission', 'appointed', 'investigate', 'report', 'advise', 'upon', 'matter', 'relation', 'condition', 'treatment', 'aborigine', 'moseley', 'commission', 'royal', 'commission', 'held', 'western', 'australia', 'treatment', 'aboriginal']",0.8420000000000001
93822,aboriginals,Q4668400,"['aboriginal', 'protection', 'restriction', 'sale', 'opium', 'act', 'queensland', 'law', 'controlled', 'activity', 'movement', 'land', 'aboriginal', 'people']",0.8340000000000001
93838,aboriginals,Q864079,"['australian', 'native', 'police', 'police', 'unit', 'consisting', 'australian', 'aboriginal']",0.833
93836,aboriginals,Q56751248,"['constitution', 'alteration', 'aboriginal', 'act', 'parliament', 'australia', 'act', 'parliament', 'australia', 'currently', 'registered']",0.826
93821,aboriginals,Q4668360,"['aboriginal', 'community', 'western', 'australia', 'human', 'settlement', 'west', 'australian', 'aboriginal', 'community', 'indigenous', 'western', 'australian', 'community', 'aboriginal', 'community', 'wa', 'community', 'aboriginal', 'western', 'australia', 'western', 'australian', 'indigenous', 'community', 'community', 'indigenous', 'western', 'australian']",0.826
93823,aboriginals,Q4825132,"['australian', 'referendum', 'aboriginal', 'referendum', 'australian', 'referendum', 'aboriginal', 'constitution', 'alteration', 'aboriginal', 'bill', 'australian', 'referendum', 'legislating', 'aboriginal', 'people', 'successful', 'proposal', 'give', 'commonwealth', 'power', 'make', 'special', 'law', 'aboriginal', 'people', 'count', 'purpose', 'constitution']",0.8240000000000001
25182,allochtoon,Q2008347,"['social', 'group', 'human', 'literally', 'meaning', 'another']",0.888
59697,baboo,Q98113730,"['lgbt', 'ideology', 'propaganda', 'homopropaganda', 'pejorative', 'term', 'lgbt', 'movement']",
59696,baboos,Q98113730,"['lgbt', 'ideology', 'propaganda', 'homopropaganda', 'pejorative', 'term', 'lgbt', 'movement']",
3803,barbarian,Q134313,"['ethnic', 'slur', 'people', 'person', 'perceived', 'either', 'uncivilized', 'primitive', 'based', 'stereotype']",0.889
3918,barbarian,Q5402094,"['kingdom', 'realm', 'historical', 'unrecognized', 'state', 'post', 'roman', 'kingdom', 'early', 'medieval', 'kingdom', 'series', 'medieval', 'kingdom', 'founded', 'dominated', 'northern', 'european', 'tribe', 'primarily', 'germanic', 'collapse', 'western', 'roman', 'empire']",0.802
3885,barbarian,Q3030751,"['distinction', 'xenophobia', 'elitism', 'ethnocentrism', 'distinction', 'hua', 'yi', 'dichotomy', 'ancient', 'distinction', 'chinese', 'people', 'foreigner']",0.79
3947,barbarian,Q64140395,"['barbarousking', 'human', 'american', 'streamer']",0.774
