,term,QID,wd_bow,cs_wm_only
94861,aboriginal,Q4668330,"['english', 'dialect', 'canadian', 'english', 'first', 'nation', 'english', 'indigenous', 'english', 'english', 'canada', 'variety', 'english', 'dialect', 'used', 'indigenous', 'people', 'canada']",0.884
93929,aboriginal,Q113211688,"['traditional', 'torres', 'strait', 'islander', 'knowledge', 'knowledge', 'system', 'traditional', 'knowledge', 'knowledge', 'traditional', 'knowledge', 'indigenous', 'australian', 'people']",0.866
94242,aboriginal,Q3699302,"['australian', 'culture', 'culture', 'indigenous', 'heritage', 'australia', 'culture']",0.8590000000000001
95693,aboriginal,Q6922014,"['mount', 'margaret', 'community', 'indigenous', 'australian', 'community', 'mount', 'margaret', 'mission', 'mount', 'margaret', 'community', 'community', 'western', 'australia']",0.858
93982,aboriginal,Q1493806,"['indigenous', 'people', 'australia', 'ethnic', 'group', 'indigenous', 'people', 'australian', 'aborigine', 'people', 'australian', 'aborigine', 'australian', 'indigenous', 'people', 'indigenous', 'people', 'australia', 'australian', 'grouping', 'people', 'existed', 'british', 'colonisation', 'australia']",0.856
95858,aboriginal,Q106809106,"['british', 'columbia', 'network', 'disability', 'society', 'organization', 'indigenous', 'charity', 'canada']",0.853
94674,aboriginal,Q115959477,"['traditional', 'torres', 'strait', 'islander', 'culture', 'language', 'history', 'knowledge', 'system', 'traditional', 'knowledge', 'knowledge', 'traditional', 'knowledge', 'indigenous', 'australian', 'people']",0.853
95209,aboriginal,Q85739476,"['reserve', 'place', 'historic', 'place', 'relating', 'australian', 'indigenous', 'people']",0.848
93926,aboriginal,Q112729549,"['indigenous', 'location', 'statistical', 'territorial', 'entity', 'australia', 'community', 'torres', 'strait', 'islander', 'community', 'indigenous', 'location', 'iloc', 'statistical', 'territorial', 'entity', 'defined', 'australian', 'bureau', 'statistic', 'census']",0.847
94372,aboriginal,Q557936,"['anmatyerre', 'australian', 'people', 'central', 'australia']",0.847
93817,aboriginals,Q170355,"['indigenous', 'australian', 'human', 'population', 'indigenous', 'people', 'australian', 'inhabitant', 'indigenous', 'people', 'aboriginal', 'australian', 'australian', 'aboriginal', 'torres', 'strait', 'islander', 'aborigine', 'australian', 'aborigine', 'type', 'ethnic', 'group', 'consisting', 'native', 'people', 'australian', 'continent', 'torres', 'strait', 'island']",0.8320000000000001
93820,aboriginals,Q376608,"['australian', 'aboriginal', 'mythology', 'mythology', 'religion', 'ritual', 'mythology', 'australian', 'aboriginal', 'mythology', 'aboriginal', 'australian', 'mythology', 'indigenous', 'australian', 'aboriginal', 'australian', 'mythology', 'indigenous', 'australian', 'mythology', 'ritual', 'traditional', 'history', 'indigenous', 'people', 'australia']",0.828
93821,aboriginals,Q4668360,"['aboriginal', 'community', 'western', 'australia', 'human', 'settlement', 'west', 'australian', 'aboriginal', 'community', 'indigenous', 'western', 'australian', 'community', 'aboriginal', 'community', 'wa', 'community', 'aboriginal', 'western', 'australia', 'western', 'australian', 'indigenous', 'community', 'community', 'indigenous', 'western', 'australian']",0.7829999999999999
93814,aboriginals,Q12060728,"['aboriginal', 'australian', 'ethnic', 'group', 'aborigine', 'aborigine', 'aboriginal', 'term', 'used', 'refer', 'group', 'indigenous', 'australian']",0.7829999999999999
93833,aboriginals,Q5260661,"['indigenous', 'people', 'cape', 'york', 'group', 'human', 'cape', 'york', 'aboriginal']",0.782
93837,aboriginals,Q65047988,"['northern', 'territory', 'aboriginal', 'act', 'act', 'south', 'australian', 'parliament', 'created', 'mechanism', 'control', 'life', 'aboriginal', 'people', 'northern', 'territory']",0.7659999999999999
93816,aboriginals,Q16873103,"['moseley', 'royal', 'commission', 'royal', 'commission', 'appointed', 'investigate', 'report', 'advise', 'upon', 'matter', 'relation', 'condition', 'treatment', 'aborigine', 'moseley', 'commission', 'royal', 'commission', 'held', 'western', 'australia', 'treatment', 'aboriginal']",0.765
93813,aboriginals,Q114875084,"['aboriginal', 'benefit', 'account', 'australian', 'government', 'body', 'australian', 'government', 'agency']",0.764
93838,aboriginals,Q864079,"['australian', 'native', 'police', 'police', 'unit', 'consisting', 'australian', 'aboriginal']",0.7559999999999999
93815,aboriginals,Q16211163,"['nunga', 'term', 'self', 'reference', 'many', 'australian', 'aboriginal']",0.7509999999999999
25182,allochtoon,Q2008347,"['social', 'group', 'human', 'literally', 'meaning', 'another']",0.578
59697,baboo,Q98113730,"['lgbt', 'ideology', 'propaganda', 'homopropaganda', 'pejorative', 'term', 'lgbt', 'movement']",
59696,baboos,Q98113730,"['lgbt', 'ideology', 'propaganda', 'homopropaganda', 'pejorative', 'term', 'lgbt', 'movement']",
3918,barbarian,Q5402094,"['kingdom', 'realm', 'historical', 'unrecognized', 'state', 'post', 'roman', 'kingdom', 'early', 'medieval', 'kingdom', 'series', 'medieval', 'kingdom', 'founded', 'dominated', 'northern', 'european', 'tribe', 'primarily', 'germanic', 'collapse', 'western', 'roman', 'empire']",0.745
3798,barbarian,Q131192,"['migration', 'period', 'invasion', 'great', 'invasion', 'germanic', 'invasion', 'invasion', 'rome', 'germanic', 'invasion', 'rome', 'period', 'european', 'history', 'century']",0.745
3953,barbarian,Q660643,"['lifan', 'yuan', 'government', 'agency', 'administrative', 'territorial', 'entity', 'γadaγdu', 'mongγul', 'un', 'törü', 'yi', 'jasaqu', 'jabudal', 'un', 'jamun', 'tulergi', 'golo', 'dasara', 'jurgan', 'lǐfànyuàn', '理藩院', 'board', 'national', 'minority', 'affair', 'court', 'territorial', 'affair', 'board', 'administration', 'outlying', 'region', 'office', 'relation', 'principality', 'office', 'control', 'office', 'mongolian', 'tibetan', 'affair', 'court', 'colonial', 'affair', 'mongol', 'yamen', 'mongol', 'department', 'lifan', 'ministry', 'monggo', 'jurgan', 'agency', 'government', 'qing', 'dynasty', 'supervised', 'qing', 'frontier', 'inner', 'asia', 'region', 'mongolian', 'dependency', 'oversaw', 'appointment', 'ambans']",0.722
3820,barbarian,Q15944418,"['ka', 'hentai', 'written', 'work', 'historical', 'document', 'kai', 'hentai', 'reversal', 'china', 'reversal', 'china', 'metamorphosis', 'civilized', 'transformation', 'civilized', 'transformation', 'civilized', 'barbarization', 'chinese', 'barbarization', 'civilised']",0.71
3971,barbarian,Q79979564,"['gourmet', 'shop', 'published', 'contemporary', 'wood', 'engraving', 'north', 'america', 'bound', 'volume', 'barry', 'moser', 'american', 'press']",0.706
3992,barbarian,Q99691584,"['warfare', 'society', 'west', 'book', 'book', 'published']",0.703
