term,mean_rm,mean_wm
aboriginal,0.4170553796608284,0.40301604838915256
aboriginals,0.7052028468884106,0.7180265683642483
achterlijk,0.6261128618158764,0.4933412651239778
achterlijke,nan,nan
achterlijken,nan,nan
achterlijker,nan,nan
achterlijkere,nan,nan
achterlijkheid,nan,nan
achterlijks,nan,nan
achterlijkst,nan,nan
achterlijkste,nan,nan
afkomst,0.6060043143901293,0.5182278242171117
afkomsten,nan,nan
allochtone,0.652140531062051,0.5468816054513945
allochtonen,0.7541649281103107,0.6687003865110629
allochtoner,nan,nan
allochtonere,nan,nan
allochtoon,0.7835135648790601,0.7135563319733892
allochtoons,nan,nan
allochtoonst,nan,nan
allochtoonste,nan,nan
baboe,0.6871354965520382,0.5762987267938423
baboes,nan,nan
barbaar,0.6374023131468236,0.5119132992816295
barbaren,0.578319041092645,0.5005651052034877
batavia,0.541730689652982,0.5205352703701138
bediend,0.5634941737020763,0.5762554706126478
bediende,0.5244824862839444,0.5199194181671639
bedienden,0.593770059509556,0.5247333894173717
bediendes,nan,nan
berber,0.5858546285816812,0.5292765461665855
berbers,0.6385778990041315,0.590704558920627
birma,0.5928358334382487,0.5523144463501322
blank,0.5629241997642613,0.5130817127268432
blanke,0.5960349371029176,0.5209495123950276
blanken,0.598649223358178,0.5155910998789591
blanker,0.5873056644655782,0.5100284718435973
blankere,nan,nan
blanks,0.5358041503542615,0.48974923398549186
blankst,nan,nan
blankste,nan,nan
bombay,0.42323260323337886,0.4011010944504348
boslandcreolen,nan,nan
boslandcreool,1.0,0.8241423304045965
bosneger,0.967169522941404,0.8241423304045965
bosnegers,0.967169522941404,0.8241423304045965
calcutta,0.5172370761924702,0.4458206735908295
derde wereld,0.8485835676026515,0.7468000925626598
dwerg,0.3929425900288707,0.3698434937588274
dwergen,0.47319484785752464,0.39805042593295437
eerste wereld,1.0,0.8889212997864293
eskimo,0.31145639821383836,0.36336515734388286
eskimo's,0.7482026978558349,0.7338923007115875
etniciteit,0.7598243666872319,0.7410202085558713
etniciteiten,nan,nan
etnische groep,0.782751804947147,0.7182904942622939
etnische groepen,0.7903599824434685,0.7428756553880655
exotisch,0.0,0.5444576756841844
exotische,0.0,0.6254065526893712
exotischer,0.0,0.4394202268137434
exotischere,nan,nan
gay,0.45679726639252183,0.5031458080185879
gaye,0.2648315477857553,0.2636859304006056
gayer,0.3878817446483123,0.36556278276315146
gays,0.3565680172341963,0.4072115947680944
gayst,nan,nan
gayste,nan,nan
gehandicapte,0.69679569769677,0.7003300039117673
gehandicapten,0.6240337486032562,0.595002864608619
gekleurd,0.5699802807082225,0.6400871088540354
gekleurde,0.621472273505338,0.62800211115598
gekleurder,nan,nan
gekleurdere,nan,nan
gekleurds,nan,nan
gekleurdst,nan,nan
gekleurdste,nan,nan
halfbloed,0.36180224808361394,0.38835217658819954
halfbloeden,nan,nan
handicap,0.650985624492252,0.6251536439469713
handicaps,0.678224965486715,0.6537089641308584
hermafrodiet,0.6671157435901943,0.5661153372856808
hermafrodieten,nan,nan
homo,0.6458105337866059,0.5874565038390764
homo's,0.6394958091963667,0.7166981219873716
homoseksualiteit,0.7043472718612613,0.6215258561843872
homoseksueel,0.8263949380902091,0.6300267356188688
homoseksueels,nan,nan
homoseksueelst,nan,nan
homoseksueelste,nan,nan
homoseksuele,0.7592391205663046,0.6177880416271077
homoseksuelen,0.6409713294594359,0.6404624653062267
homoseksueler,nan,nan
homoseksuelere,nan,nan
hottentot,1.000000057442677,0.5199780611257079
hottentotten,1.000000057442677,0.5199780611257079
inboorling,0.4432928770035389,0.4123517257862844
inboorlingen,nan,nan
indiaan,0.5813852854284052,0.5705088320799259
indiaans,0.6597167380688076,0.6484389283120208
indianen,0.6709087825903739,0.6687086147672213
indisch,0.6928299861696234,0.6367279028486285
indische,0.7046551190002972,0.6760930870550107
